"person_id","person_body_key","person_external_id","person_fullname","person_firstname","person_lastname","person_party_de","person_party_fr","person_party_it","person_party_external_id","person_external_alternative_id","person_website_parliament_url_de","person_website_parliament_url_fr","person_website_parliament_url_it","person_image_url","person_email","person_phone","person_birthday","person_deathday","person_street","person_postal_code","person_city","person_occupation_de","person_occupation_fr","person_occupation_it","person_title","person_martial_status_de","person_martial_status_fr","person_martial_status_it","person_electoral_district_de","person_electoral_district_fr","person_electoral_district_it","person_website_personal","person_gender","person_parliamentary_group_name_de","person_parliamentary_group_name_fr","person_parliamentary_group_name_it","person_parliamentary_group_name_rm","person_parliamentary_group_external_id","person_image_data","person_parliament_sector","person_parliament_seat","person_active","person_language","person_function_latest_de","person_function_latest_fr","person_function_latest_it","person_function_latest_rm","person_function_latest_external_id","person_wikidata_id","person_updated_external","person_updated_local","person_created_local"
9472,"GE","99","Daniel Zaugg","Daniel","Zaugg",NULL,"PLR",NULL,NULL,NULL,NULL,"https://ge.ch/grandconseil/gc/depute/99/",NULL,"https://ge.ch/grandconseil/data/deputes/depute_photo_a5d32bdb78e21d2aabb26ac9241c1680.jpg",NULL,NULL,"1964-01-01",NULL,NULL,NULL,NULL,NULL,"Entrepreneur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,"fr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-25 22:34:09.921","2024-11-10 01:37:36.811145"
9473,"GE","98","Pierre Weiss","Pierre","Weiss",NULL,"PLR",NULL,NULL,NULL,NULL,"https://ge.ch/grandconseil/gc/depute/98/",NULL,"https://ge.ch/grandconseil/data/deputes/depute_photo_32644842812bdbd4bfab0daa0a039cfd.jpg",NULL,NULL,"1952-01-01",NULL,NULL,NULL,NULL,NULL,"Sociologue",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,"fr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-25 22:34:09.986","2024-11-10 01:39:25.919339"
9474,"GE","97","Francis Walpen","Francis","Walpen",NULL,"L",NULL,NULL,NULL,NULL,"https://ge.ch/grandconseil/gc/depute/97/",NULL,"https://ge.ch/grandconseil/data/deputes/depute_photo_80c10c4fb9afa893ea550ace5b24e2f4.jpg",NULL,NULL,"1941-01-01",NULL,NULL,NULL,NULL,NULL,"Député",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,"fr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-25 22:34:10.006","2024-11-10 01:39:25.919339"
9475,"GE","95","Manuel Tornare","Manuel","Tornare",NULL,"S",NULL,NULL,NULL,NULL,"https://ge.ch/grandconseil/gc/depute/95/",NULL,"https://ge.ch/grandconseil/data/deputes/depute_photo_5e4870a54f10b5e39e5a079938694367.jpg",NULL,NULL,"1951-01-01",NULL,NULL,NULL,NULL,NULL,"Conseiller administratif, Ville de Genève",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,"fr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-25 22:34:10.226","2024-11-10 01:39:25.919339"
9476,"GE","94","Eric Stauffer","Eric","Stauffer",NULL,"HP",NULL,NULL,NULL,NULL,"https://ge.ch/grandconseil/gc/depute/94/",NULL,"https://ge.ch/grandconseil/data/deputes/depute_photo_9ca0e8fd5859d0755b54882919fedb2c.jpg",NULL,NULL,"1964-01-01",NULL,NULL,NULL,NULL,NULL,"Directeur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,"fr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-25 22:34:10.244","2024-11-10 01:39:25.919339"
9477,"GE","93","Pascal Spuhler","Pascal","Spuhler",NULL,"HP",NULL,NULL,NULL,NULL,"https://ge.ch/grandconseil/gc/depute/93/",NULL,"https://ge.ch/grandconseil/data/deputes/depute_photo_8c44b4b6d5dbe48167a1c298a917f731.jpg",NULL,NULL,"1963-01-01",NULL,NULL,NULL,NULL,NULL,"Indépendant",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,"fr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-25 22:34:10.303","2024-11-10 01:39:25.919339"
9478,"GE","92","Ivan Slatkine","Ivan","Slatkine",NULL,"PLR",NULL,NULL,NULL,NULL,"https://ge.ch/grandconseil/gc/depute/92/",NULL,"https://ge.ch/grandconseil/data/deputes/depute_photo_47ef34a563e9b94cf9b28a1513b12157.jpg",NULL,NULL,"1972-01-01",NULL,NULL,NULL,NULL,NULL,"Editeur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,"fr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-25 22:34:10.209","2024-11-10 01:39:25.919339"
9479,"GE","91","Christine Serdaly Morgan","Christine","Serdaly Morgan",NULL,"S",NULL,NULL,NULL,NULL,"https://ge.ch/grandconseil/gc/depute/91/",NULL,"https://ge.ch/grandconseil/data/deputes/depute_photo_e3c2d21e3022c5f2b608e61f921efe04.jpg",NULL,NULL,"1964-01-01",NULL,NULL,NULL,NULL,NULL,"Consultante et entrepreneur sociale",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"f",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,"fr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-25 22:34:10.502","2024-11-10 01:39:25.919339"
9480,"GE","9","Catherine Baud","Catherine","Baud",NULL,"Ve",NULL,NULL,NULL,NULL,"https://ge.ch/grandconseil/gc/depute/9/",NULL,"https://ge.ch/grandconseil/data/deputes/depute_photo_a89e369c37885c6dcdee95bd661d7336.jpg",NULL,NULL,"1956-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"f",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,"fr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-25 22:34:10.538","2024-11-10 01:39:25.919339"
9481,"GE","89","Nathalie Schneuwly","Nathalie","Schneuwly",NULL,"PLR",NULL,NULL,NULL,NULL,"https://ge.ch/grandconseil/gc/depute/89/",NULL,"https://ge.ch/grandconseil/data/deputes/depute_photo_4963eb6f07a1259b74f8bd84b7893ed7.jpg",NULL,NULL,"1969-01-01",NULL,NULL,NULL,NULL,NULL,"Juriste",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"f",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,"fr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-25 22:34:10.5","2024-11-10 01:39:25.919339"
