vote_body_key,vote_created_local,vote_external_id,vote_id,vote_person_external_id,vote_person_fullname,vote_vote,vote_vote_display_de,vote_vote_display_fr,vote_vote_display_it,vote_voting_external_id
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2537,10780058,2537,Sebastian Aeschbach,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2527,10780059,2527,Leonard Ferati,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2478,10780060,2478,Jean-Pierre Pasquier,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2513,10780061,2513,Masha Alimi,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2471,10780062,2471,Joëlle Fiss,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2535,10780063,2535,Léo Peterschmitt,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2518,10780064,2518,Lara Atassi,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_38,10780065,38,Stéphane Florey,yes,,+,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2392,10780066,2392,André Pfeffer,yes,,+,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2544,10780067,2544,Darius Azarpey,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2382,10780068,2382,Christian Flury,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2443,10780069,2443,Francine de Planta,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2375,10780070,2375,François Baertschi,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2542,10780071,2542,Sami Gashi,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_551,10780072,551,Charles Poncet,yes,,+,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2517,10780073,2517,Stefan Balaban,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2425,10780074,2425,Adrien Genecand,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2534,10780075,2534,Julien Ramu,yes,,+,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2475,10780076,2475,Dilara Bayrak,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2383,10780077,2383,Jean-Marc Guinchard,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2350,10780078,2350,Jean-Charles Rielle,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2430,10780079,2430,Patricia Bidaux,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2533,10780080,2533,Angèle-Marie Habiyakare,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2421,10780081,2421,Ana Roch,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2441,10780082,2441,Jacques Blondin,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_56,10780083,56,Christo Ivanov,yes,,+,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2490,10780084,2490,Philippe de Rougemont,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2521,10780085,2521,Sophie Bobillier,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2512,10780086,2512,Arber Jahija,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2352,10780087,2352,Romain de Sainte Marie,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2547,10780088,2547,Thomas Bruchez,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_57,10780089,57,Jacques Jeannerat,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2526,10780090,2526,Djawed Sangdel,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2461,10780091,2461,Natacha Buffet-Desfayes,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2531,10780092,2531,Cédric Jeanneret,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2503,10780093,2503,Marc Saudan,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2498,10780094,2498,Rémy Burri,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2536,10780095,2536,Matthieu Jotterand,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2464,10780096,2464,Souheil Sayegh,no,,-,,030101_AN-IN00176B-1
GE,2025-02-26 01:18:56.519994,030101_AN-IN00176B-1_2516,10780097,2516,Vincent Canonica,no,,-,,030101_AN-IN00176B-1
