"voting_id","voting_body_key","voting_external_id","voting_date","voting_external_alternative_id","voting_affair_external_id","voting_affair_number","voting_title_de","voting_title_fr","voting_title_it","voting_url_de","voting_url_fr","voting_url_it","voting_type_de","voting_type_fr","voting_type_it","voting_meaning_of_yes_de","voting_meaning_of_yes_fr","voting_meaning_of_yes_it","voting_meaning_of_no_de","voting_meaning_of_no_fr","voting_meaning_of_no_it","voting_results_yes","voting_results_no","voting_results_abstention","voting_results_absent","voting_results_string","voting_affair_title_de","voting_affair_title_fr","voting_affair_title_it","voting_decision","voting_meeting_parent_type","voting_meeting_parent_external_id","voting_council_external_id","voting_updated_local","voting_updated_external","voting_created_local"
142687,"GE","030210_AN-PL13407A","2025-02-14 20:02:00",NULL,"PL 13407","PL 13407",NULL,"PL 13407-A, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-PL13407A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,0,0,NULL,NULL,NULL,"Sur la navigation dans les eaux genevoises (LNav) (H 2 05)",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
142658,"GE","030210_AN-PL13354A","2025-02-14 19:24:00",NULL,"PL 13354","PL 13354",NULL,"PL 13354-A, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-PL13354A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,30,0,NULL,NULL,NULL,"Ouvrant un crédit d'étude de faisabilité de 1 320 000 francs pour l'étude de la construction d'un barrage sur le Rhône, au lieu-dit Conflan",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
142773,"GE","030210_AN-R01055","2025-02-14 18:57:00",NULL,NULL,"R 1055",NULL,"R 1055, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-R01055.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.718565"
142398,"GE","030210_AN-M03092","2025-02-14 18:45:00",NULL,NULL,"M 3092",NULL,"M 3092, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-M03092.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,21,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.621211"
142732,"GE","030210_AN-PL13593-2","2025-02-14 18:11:00",NULL,NULL,"PL 13593",NULL,"PL 13593, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-PL13593-2.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,33,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
142731,"GE","030210_AN-PL13593-1","2025-02-14 18:10:00",NULL,NULL,"PL 13593",NULL,"PL 13593, vote nominal : clause d'urgence (art. 18)",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-PL13593-1.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
142718,"GE","030210_AN-PL13520A","2025-02-14 17:01:00",NULL,"PL 13520","PL 13520",NULL,"PL 13520-A, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-PL13520A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,11,1,NULL,NULL,NULL,"Accordant une indemnité de 16 688 310 francs aux Mouettes Genevoises SA (MG SA) pour les années 2025-2029",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
142399,"GE","030210_AN-M03094","2025-02-14 16:40:00",NULL,NULL,"M 3094",NULL,"M 3094, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-M03094.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.621211"
142623,"GE","030210_AN-PL13250","2025-02-14 15:48:00",NULL,"PL 13250","PL 13250",NULL,"PL 13250, vote nominal : 1er débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-PL13250.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,52,0,NULL,NULL,NULL,"Modifiant la constitution de la République et canton de Genève (Cst-GE) (A 2 00) (Afin d'établir un véritable congé parental - contreprojet à l'IN 184)",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
142462,"GE","030210_AN-P02223A","2025-02-14 15:31:00",NULL,"P 2223","P 2223",NULL,"P 2223-A, vote nominal : dépôt sur le bureau",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-P02223A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,11,9,NULL,NULL,NULL,"Pétition : Non à la fermeture partielle de la route de Ferney et au transit automobile dans les chemins communaux et non à l'abattage des arbres du Chapeau-du-Curé",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.050752"
142461,"GE","030210_AN-P02222A","2025-02-14 15:13:00",NULL,"P 2222","P 2222",NULL,"P 2222-A, vote nominal : dépôt sur le bureau",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-P02222A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,17,0,NULL,NULL,NULL,"Pétition pour que l'Etat et la Ville préservent des logements locatifs accessibles et bon marché",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.050752"
142203,"GE","030210_AN-IN00198B-2","2025-02-13 23:06:00",NULL,"IN 198","IN 198",NULL,"IN 198-B, vote nominal : principe d'un contreprojet",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-IN00198B-2.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,29,1,NULL,NULL,NULL,"Initiative populaire cantonale 198 « Pour une contraception gratuite »",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.298112"
